0.000000, 0.000000, 0.246619, 0.493238
0.246619, 0.493238, 0.307899, -2.169911
0.307899, -2.169911, 3.440021, 0.600606
3.440021, 0.600606, 6.361717, -3.488364
6.361717, -3.488364, 2.081740, -2.315674
2.081740, -2.315674, 3.693503, -6.257098
3.693503, -6.257098, 1.920599, -2.497552
1.920599, -2.497552, 6.089614, -3.878589
6.089614, -3.878589, 3.410134, -0.516237
3.410134, -0.516237, 6.146155, -3.797503
6.146155, -3.797503, 2.058361, -2.342061
2.058361, -2.342061, 3.954459, -6.142307
3.954459, -6.142307, 2.365157, -1.995785
2.365157, -1.995785, 6.653977, -3.069231
6.653977, -3.069231, 4.212707, 0.512850
4.212707, 0.512850, 0.989964, -2.467805
0.989964, -2.467805, 0.987614, 0.327286
0.987614, 0.327286, -0.106956, -1.988721
-0.106956, -1.988721, 0.837176, 0.360978
0.837176, 0.360978, 0.679246, -2.332097
0.679246, -2.332097, 3.489313, 0.595007
3.489313, 0.595007, 6.129560, -3.821303
6.129560, -3.821303, 1.516265, -2.953918
1.516265, -2.953918, 2.700299, -6.693995
2.700299, -6.693995, 0.929157, -3.616577
0.929157, -3.616577, 5.390597, -5.510568
5.390597, -5.510568, 5.844060, -4.230740
5.844060, -4.230740, 8524.831573, 7076.995371
